,Name,Team,Pos,Made,Attempted,Percent,year
0,John Kasay,SEA,K,25,31,81,1991
1,Lin Elliott,DAL,K,24,35,69,1992
2,Jason Hanson,DET,K,21,26,81,1992
3,Jason Elam,DEN,K,26,35,74,1993
4,Doug Pelfrey,CIN,K,24,31,77,1993
5,Michael Husted,TB,K,16,22,73,1993
6,Scott Sisson,NE,K,14,26,54,1993
7,Chris Boniol,DAL,K,22,29,76,1994
8,Doug Brien,SF,K,15,20,75,1994
14,Adam Vinatieri,NE,K,27,35,77,1996
15,John Hall,NYJ,K,28,41,68,1997
16,Ryan Longwell,GB,K,24,30,80,1997
17,Wade Richey,SF,K,18,27,67,1998
19,Martin Gramatica,TB,K,27,32,84,1999
20,Kris Brown,PIT,K,25,29,86,1999
22,Tim Seder,DAL,K,25,33,76,2000
23,Sebastian Janikowski,OAK,K,22,32,69,2000
24,Paul Edinger,CHI,K,21,27,78,2000
26,Neil Rackers,CIN,K,12,21,57,2000
28,Jay Feely,ATL,K,29,37,78,2001
29,Bill Gramatica,ARI,K,16,20,80,2001
34,Matt Bryant,NYG,K,26,32,81,2002
40,Josh Brown,SEA,K,22,30,73,2003
41,Seth Marler,JAC,K,20,33,61,2003
42,Josh Scobee,JAC,K,24,31,77,2004
43,Nate Kaeding,SD,K,20,25,80,2004
46,Mike Nugent,NYJ,K,22,28,79,2005
47,Robbie Gould,CHI,K,21,27,78,2005
52,Stephen Gostkowski,NE,K,20,26,77,2006
53,Mason Crosby,GB,K,31,39,80,2007
54,Nick Folk,DAL,K,26,31,84,2007
56,Dan Carpenter,MIA,K,21,25,84,2008
61,Ryan Succop,KC,K,25,29,86,2009
65,Dan Bailey,DAL,K,32,37,86,2011
66,Alex Henery,PHI,K,24,27,89,2011
67,Blair Walsh,MIN,K,35,38,92,2012
68,Justin Tucker,BAL,K,30,33,91,2012
69,Greg Zuerlein,STL,K,23,31,74,2012
70,Caleb Sturgis,MIA,K,26,34,76,2013
71,Cody Parkey,PHI,K,32,36,89,2014
72,Chandler Catanzaro,ARI,K,29,33,88,2014
73,Cairo Santos,KC,K,25,30,83,2014
74,Patrick Murray,TB,K,20,24,83,2014
76,Josh Lambo,SD,K,26,32,81,2015
79,Wil Lutz,NO,K,28,34,82,2016
80,Roberto Aguayo,TB,K,22,31,71,2016
